Order_ID,Order_Date,Customer_ID,Customer_Name,Product,Category,Quantity,Unit_Price,Cost_Price,Discount,City,State,Region,Salesperson,Payment_Mode
ORD3526,2026-03-04,C0223,Sneha Mishra,Office Chair,Furniture,2.0,12000.0,8500,10,Gorakhpur,Uttar Pradesh,North,Sneha,UPI
ORD3923,2026-03-01,C0212,Karan Agarwal,Notebook,Stationery,1.0,120.0,65,10,Delhi,Delhi,North,Priya,Debit Card
ORD1890,2026-06-24,C0015,Rahul Yadav,Smartphone,Electronics,1.0,28000.0,22000,0,Delhi,Delhi,North,Neha,UPI
ORD1658,2026-08-02,C0467,Kavita Singh,Notebook,Stationery,5.0,120.0,65,10,Kolkata,West Bengal,East,Neha,Net Banking
ORD5317,2026-02-06,C0979,Ravi Sharma,Office Chair,Furniture,4.0,12000.0,8500,20,Jaipur,Rajasthan,north,Karan,Net Banking
ORD1839,2026-03-10,C0181,Anjali Mishra,Headphones,Electronics,2.0,3500.0,2200,5,Delhi,Delhi,North,Karan,Debit Card
ORD3345,2026-02-27,C0499,Kavita Yadav,Office Chair,Furniture,3.0,12000.0,8500,20,Bhubaneswar,Odisha,East,Neha,Credit Card
ORD3147,2026-01-06,C0009,Rohan Yadav,Monitor,Electronics,6.0,18000.0,14000,15,Kolkata,West Bengal,East,Neha,Net Banking
ORD1200,2026-08-01,C0080,Rohan Yadav,Office Chair,Furniture,1.0,12000.0,8500,0,Lucknow,Uttar Pradesh,North,Karan,Debit Card
ORD3847,2026-06-25,C0566,Aditya Sharma,Pen Set,Stationery,6.0,250.0,140,5,Chennai,Tamil Nadu,South,Ravi,Debit Card
ORD5392,2026-12-04,C0977,Shreya Agarwal,Desk,Furniture,1.0,9000.0,6200,5,Jaipur,Rajasthan,North,Priya,Debit Card
ORD5714,2026-08-15,C0697,Rahul Yadav,Desk,Furniture,7.0,9000.0,6200,5,Kolkata,West Bengal,East,Karan,UPI
ORD1085,2026-05-26,C0604,Rahul Kumar,Desk,Furniture,3.0,9000.0,6200,10,Kolkata,West Bengal,East,Ravi,Net Banking
